species,reassignment,common_name,family
Pachytriton feii,Lissotriton vulgaris,Smooth newt,Salamandridae
Tylototriton taliangensis,Lissotriton vulgaris,Smooth newt,Salamandridae
Aix galericulata,Aix galericulata,Mandarin duck,Anatidae
Anas acuta,Anas acuta,Pintail,Anatidae
Anas clypeata,Anas clypeata,Shoveler,Anatidae
Anas crecca,Anas crecca,Teal,Anatidae
Anser albifrons,Anser albifrons,White-fronted goose,Anatidae
Anser anser,Anser anser,Greylag goose,Anatidae
Branta canadensis,Branta canadensis,Canada goose,Anatidae
Cairina moschata,Cairina moschata,Muscovy duck,Anatidae
Cygnus cygnus,Cygnus cygnus,Whooper swan,Anatidae
Cygnus olor,Cygnus olor,Mute swan,Anatidae
Mergus merganser,Mergus merganser,Goosander,Anatidae
Tadorna tadorna,Tadorna tadorna,Shelduck,Anatidae
Heliodoxa aurescens,Pluvialis apricaria,Golden plover,Charadriidae
Pluvialis fulva,Pluvialis apricaria,Golden plover,Charadriidae
Vanellus vanellus,Vanellus vanellus,Lapwing,Charadriidae
Haematopus ostralegus,Haematopus ostralegus,Oystercatcher,Haematopodidae
Ichthyaetus relictus,Chroicocephalus ridibundus,Black-headed gull,Laridae
Larus brunnicephalus,Chroicocephalus ridibundus,Black-headed gull,Laridae
Larus dominicanus,Larus spp.,Gulls,Laridae
Calidris ruficollis,Calidris alpina,Dunlin,Scolopacidae
Numenius tenuirostris,Numenius phaeopus,Whimbrel,Scolopacidae
Tringa ochropus,Tringa ochropus,Green sandpiper,Scolopacidae
Tringa totanus,Tringa totanus,Redshank,Scolopacidae
Caloenas maculata,Uria aalge,Guillemot,Alcidae
Columba jouyi,Streptopelia decaocto,Collared dove,Columbidae
Columba livia,Columba livia,Rock dove,Columbidae
Columba rupestris,Columba livia,Rock dove,Columbidae
Ectopistes migratorius,Columba palumbus,Wood pigeon,Columbidae
Streptopelia decaocto,Streptopelia decaocto,Collared dove,Columbidae
Alectoris chukar,Alectoris rufa,Red-legged partridge,Phasianidae
Gallus gallus spadiceus,Gallus gallus domesticus,Chicken,Phasianidae
Lyrurus tetrix,Lagopus lagopus,Willow ptarmigan,Phasianidae
Meleagris gallopavo,Meleagris gallopavo,Turkey,Phasianidae
Perdix perdix,Perdix perdix,Grey partridge,Phasianidae
Phasianus colchicus,Phasianus colchicus,Common pheasant,Phasianidae
Phasianus versicolor,Phasianus colchicus,Common pheasant,Phasianidae
Syrmaticus reevesii,Lagopus lagopus,Willow ptarmigan,Phasianidae
